doc_id,owner,asset,ticker,asset_code,txn_type,txn_date,notif_date,amount_low,amount_high,is_option,strike,expiry,description,filing_date
20033725,SP,AllianceBernstein Holding L.P. Units,AB,AB,P,01/16/2026,01/16/2026,1000001,5000000,False,,,"Purchased 25,000 shares.",01/23/2026
20033725,SP,Alphabet Inc. - Class A Common Stock,GOOGL,ST,P,01/16/2026,01/16/2026,500001,1000000,True,150,1/16/26,"Exercised 50 call options purchased 1/14/25 (5,000 shares) at a strike price of $150 with an expiration date of 1/16/26.",01/23/2026
20033725,SP,Alphabet Inc. - Class A Common Stock,GOOGL,OP,P,12/30/2025,12/30/2025,250001,500000,True,150,1/15/27,Purchased 20 call options with a strike price of $150 and an expiration date of 1/15/27.,01/23/2026
20033725,SP,Alphabet Inc. - Class A Common Stock,GOOGL,ST,S (partial),12/30/2025,12/30/2025,1000001,5000000,False,,,"Contribution of 7,704 shares held personally to Donor-Advised Fund.",01/23/2026
20033725,SP,"Amazon.com, Inc. - Common Stock",AMZN,OP,P,12/30/2025,12/30/2025,100001,250000,True,120,1/15/27,Purchased 20 call options with a strike price of $120 and an expiration date of 1/15/27.,01/23/2026
20033725,SP,"Amazon.com, Inc. - Common Stock",AMZN,ST,S (partial),12/24/2025,12/24/2025,1000001,5000000,False,,,"Sold 20,000 shares.",01/23/2026
20033725,SP,"Amazon.com, Inc. - Common Stock",AMZN,ST,P,01/16/2026,01/16/2026,500001,1000000,True,150,1/16/26,"Exercised 50 call options purchased 1/14/25 (5,000 shares) at a strike price of $150 with an expiration date of 1/16/26.",01/23/2026
20033725,SP,Apple Inc. - Common Stock,AAPL,ST,S (partial),12/24/2025,12/24/2025,5000001,25000000,False,,,"Sold 45,000 shares.",01/23/2026
20033725,SP,Apple Inc. - Common Stock,AAPL,OP,P,12/30/2025,12/30/2025,250001,500000,True,100,1/15/27,Purchased 20 call options with a strike price of $100 and an expiration date of 1/15/27.,01/23/2026
20033725,SP,Apple Inc. - Common Stock,AAPL,ST,S (partial),12/30/2025,12/30/2025,5000001,25000000,False,,,"Contribution of 28,200 shares to Donor-Advised Fund.",01/23/2026
20033725,SP,NVIDIA Corporation - Common Stock,NVDA,OP,P,12/30/2025,12/30/2025,100001,250000,True,100,1/15/27,Purchased 20 call options with a strike price of $100 and an expiration date of 1/15/27.,01/23/2026
20033725,SP,NVIDIA Corporation - Common Stock,NVDA,ST,S (partial),12/24/2025,12/24/2025,1000001,5000000,False,,,"Sold 20,000 shares.",01/23/2026
20033725,SP,NVIDIA Corporation - Common Stock,NVDA,ST,P,01/16/2026,01/16/2026,250001,500000,True,80,1/16/26,"Exercised 50 call options purchased 1/14/25 (5,000 shares) at a strike price of $80 with an expiration date of 1/16/26.",01/23/2026
20033725,SP,"PayPal Holdings, Inc. - Common Stock",PYPL,ST,S,12/30/2025,12/30/2025,250001,500000,False,,,"Sold 5,000 shares.",01/23/2026
20033725,SP,"Tempus AI, Inc. - Class A Common Stock",TEM,ST,P,01/16/2026,01/16/2026,50001,100000,True,20,1/16/26,"Exercised 50 call options purchased 1/14/25 (5,000 shares) at a strike price of $20 with an expiration date of 1/16/26.",01/23/2026
20033725,SP,"Versant Media Group, Inc. - Class A Common Stock",VSNT,ST,E,01/02/2026,01/02/2026,,,False,,,776 shares and cash in lieu received as a result of spinoff from Comcast Corporation. No shares of Comcast were surrendered as a result of the spinoff.,01/23/2026
20033725,SP,Vistra Corp. Common Stock,VST,ST,P,01/16/2026,01/16/2026,100001,250000,True,50,1/16/26,"Exercised 50 call options purchased 1/14/25 (5,000 shares) at a strike price of $50 with an expiration date of 1/16/26.",01/23/2026
20033725,SP,Walt Disney Company,DIS,ST,S,12/30/2025,12/30/2025,1000001,5000000,False,,,"Sold 10,000 shares.",01/23/2026
